article_title,revision_id,url,country,article_quality
Majah Ha Adrif,1233202991,https://en.wikipedia.org/wiki/Majah_Ha_Adrif,Afghanistan,Start
Haroon al-Afghani,1230459615,https://en.wikipedia.org/wiki/Haroon_al-Afghani,Afghanistan,B
Tayyab Agha,1225661708,https://en.wikipedia.org/wiki/Tayyab_Agha,Afghanistan,Start
Khadija Zahra Ahmadi,1234741562,https://en.wikipedia.org/wiki/Khadija_Zahra_Ahmadi,Afghanistan,Stub
Aziza Ahmadyar,1195651393,https://en.wikipedia.org/wiki/Aziza_Ahmadyar,Afghanistan,Start
Muqadasa Ahmadzai,1235521766,https://en.wikipedia.org/wiki/Muqadasa_Ahmadzai,Afghanistan,Start
Mohammad Sarwar Ahmedzai,1176429234,https://en.wikipedia.org/wiki/Mohammad_Sarwar_Ahmedzai,Afghanistan,Start
Amir Muhammad Akhundzada,1247931713,https://en.wikipedia.org/wiki/Amir_Muhammad_Akhundzada,Afghanistan,Start
Nasrullah Baryalai Arsalai,1225385278,https://en.wikipedia.org/wiki/Nasrullah_Baryalai_Arsalai,Afghanistan,Start
Abdul Rahim Ayoubi,1226326055,https://en.wikipedia.org/wiki/Abdul_Rahim_Ayoubi,Afghanistan,Start
Ismael Balkhi,1244521219,https://en.wikipedia.org/wiki/Ismael_Balkhi,Afghanistan,Start
Abdul Baqi Turkistani,1231655023,https://en.wikipedia.org/wiki/Abdul_Baqi_Turkistani,Afghanistan,Stub
Mohammad Ghous Bashiri,1237694188,https://en.wikipedia.org/wiki/Mohammad_Ghous_Bashiri,Afghanistan,Start
Jan Baz,1227635806,https://en.wikipedia.org/wiki/Jan_Baz,Afghanistan,Stub
Bashir Ahmad Bezan,1248505877,https://en.wikipedia.org/wiki/Bashir_Ahmad_Bezan,Afghanistan,Start
Rafiullah Bidar,1197443408,https://en.wikipedia.org/wiki/Rafiullah_Bidar,Afghanistan,Stub
Mohammad Siddiq Chakari,1134129082,https://en.wikipedia.org/wiki/Mohammad_Siddiq_Chakari,Afghanistan,Stub
Cheragh Ali Cheragh,1193992206,https://en.wikipedia.org/wiki/Cheragh_Ali_Cheragh,Afghanistan,Start
Nasir Ahmad Durrani,988838315,https://en.wikipedia.org/wiki/Nasir_Ahmad_Durrani,Afghanistan,Stub
Muhammad Hashim Esmatullahi,949986748,https://en.wikipedia.org/wiki/Muhammad_Hashim_Esmatullahi,Afghanistan,Stub
