article_title,revision_id,country,article_quality,population,region
Majah Ha Adrif,1233202991.0,Afghanistan,Start,42.4,SOUTH ASIA
Haroon al-Afghani,1230459615.0,Afghanistan,B,42.4,SOUTH ASIA
Tayyab Agha,1225661708.0,Afghanistan,Start,42.4,SOUTH ASIA
Khadija Zahra Ahmadi,1234741562.0,Afghanistan,Stub,42.4,SOUTH ASIA
Aziza Ahmadyar,1195651393.0,Afghanistan,Start,42.4,SOUTH ASIA
Muqadasa Ahmadzai,1235521766.0,Afghanistan,Start,42.4,SOUTH ASIA
Mohammad Sarwar Ahmedzai,1176429234.0,Afghanistan,Start,42.4,SOUTH ASIA
Amir Muhammad Akhundzada,1247931713.0,Afghanistan,Start,42.4,SOUTH ASIA
Nasrullah Baryalai Arsalai,1225385278.0,Afghanistan,Start,42.4,SOUTH ASIA
Abdul Rahim Ayoubi,1226326055.0,Afghanistan,Start,42.4,SOUTH ASIA
Ismael Balkhi,1244521219.0,Afghanistan,Start,42.4,SOUTH ASIA
Abdul Baqi Turkistani,1231655023.0,Afghanistan,Stub,42.4,SOUTH ASIA
Mohammad Ghous Bashiri,1237694188.0,Afghanistan,Start,42.4,SOUTH ASIA
Jan Baz,1227635806.0,Afghanistan,Stub,42.4,SOUTH ASIA
Bashir Ahmad Bezan,1248505877.0,Afghanistan,Start,42.4,SOUTH ASIA
Rafiullah Bidar,1197443408.0,Afghanistan,Stub,42.4,SOUTH ASIA
Mohammad Siddiq Chakari,1134129082.0,Afghanistan,Stub,42.4,SOUTH ASIA
Cheragh Ali Cheragh,1193992206.0,Afghanistan,Start,42.4,SOUTH ASIA
Nasir Ahmad Durrani,988838315.0,Afghanistan,Stub,42.4,SOUTH ASIA
Muhammad Hashim Esmatullahi,949986748.0,Afghanistan,Stub,42.4,SOUTH ASIA
Ezatullah (Nangarhar),1158302291.0,Afghanistan,Stub,42.4,SOUTH ASIA
Aimal Faizi,1185105938.0,Afghanistan,Stub,42.4,SOUTH ASIA
Gajinder Singh Safri,1212323536.0,Afghanistan,Stub,42.4,SOUTH ASIA
Sharif Ghalib,1245967190.0,Afghanistan,Start,42.4,SOUTH ASIA
Hashmat Ghani Ahmadzai,1207743719.0,Afghanistan,C,42.4,SOUTH ASIA
